IsRaceOn,TimestampMS,EngineMaxRpm,EngineIdleRpm,CurrentEngineRpm,AccelerationX,AccelerationY,AccelerationZ,VelocityX,VelocityY,VelocityZ,AngularVelocityX,AngularVelocityY,AngularVelocityZ,Yaw,Pitch,Roll,NormalizedSuspensionTravelFrontLeft,NormalizedSuspensionTravelFrontRight,NormalizedSuspensionTravelRearLeft,NormalizedSuspensionTravelRearRight,TireSlipRatioFrontLeft,TireSlipRatioFrontRight,TireSlipRatioRearLeft,TireSlipRatioRearRight,WheelRotationSpeedFrontLeft,WheelRotationSpeedFrontRight,WheelRotationSpeedRearLeft,WheelRotationSpeedRearRight,WheelOnRumbleStripFrontLeft,WheelOnRumbleStripFrontRight,WheelOnRumbleStripRearLeft,WheelOnRumbleStripRearRight,WheelInPuddleDepthFrontLeft,WheelInPuddleDepthFrontRight,WheelInPuddleDepthRearLeft,WheelInPuddleDepthRearRight,SurfaceRumbleFrontLeft,SurfaceRumbleFrontRight,SurfaceRumbleRearLeft,SurfaceRumbleRearRight,TireSlipAngleFrontLeft,TireSlipAngleFrontRight,TireSlipAngleRearLeft,TireSlipAngleRearRight,TireCombinedSlipRatioFrontLeft,TireCombinedSlipRatioFrontRight,TireCombinedSlipRatioRearLeft,TireCombinedSlipRatioRearRight,SuspensionTravelMetersFrontLeft,SuspensionTravelMetersFrontRight,SuspensionTravelMetersRearLeft,SuspensionTravelMetersRearRight,CarOrdinal,CarClass,CarPerformanceIndex,DrivetrainType,NumCylinders
1,2587218,8199.995,799.9995,5181.449,5.026006,-0.2193461,5.183518,0.001066685,-0.1267856,27.0657,-0.03118166,-0.02100806,-0.1572736,1.740527,0.02870859,-0.0756311,0.4811255,0.2063622,0.5678969,0.324607,0.210127,0.4728388,-0.003231232,-0.003822575,84.8985,87.81068,82.59565,82.69839,0,0,0,0,0,0,0,0,0,0,0,0,0.0339221,0.03262202,0.02884637,0.02089926,0.2128475,0.4739628,0.02902678,0.02124597,0.01211568,-0.0254202,0.02396967,-0.009266585,2870,3,573,0,4
1,2587234,8199.995,799.9995,5134.178,4.296493,-0.03241578,5.378699,0.04251385,-0.1342779,27.16471,-0.04349578,-0.02306211,-0.165121,1.740202,0.02803987,-0.0783481,0.4732524,0.2215869,0.5533416,0.3366342,0.2027127,0.3444509,-0.003336954,-0.003409145,85.13865,86.73245,82.90839,83.02846,0,0,0,0,0,0,0,0,0,0,0,0,0.02076343,0.01999402,0.01237991,0.004887584,0.2037733,0.3450307,0.01282175,0.005959089,0.01104012,-0.02334033,0.02198125,-0.007623531,2870,3,573,0,4
1,2587250,8199.995,799.9995,5098.885,3.60414,0.1587009,5.479949,0.07473612,-0.1434712,27.25854,-0.05402034,-0.02182929,-0.168754,1.739893,0.02718133,-0.08114875,0.4634402,0.2360924,0.5485445,0.3511343,0.1884886,0.2572221,-0.003222508,-0.002942167,85.28832,86.11116,83.21329,83.33215,0,0,0,0,0,0,0,0,0,0,0,0,0.009147828,0.008605169,0.001191685,-0.006983817,0.1887104,0.257366,0.003435793,0.007578262,0.009699665,-0.02135871,0.02132589,-0.005642638,2870,3,573,0,4
1,2587265,8199.995,799.9995,5083.445,2.973892,0.3600679,5.448718,0.09805727,-0.1518453,27.34559,-0.0607923,-0.01821071,-0.1690479,1.739643,0.02618315,-0.08398221,0.4592765,0.2573617,0.5536869,0.3933438,0.1656321,0.1941061,-0.002943171,-0.002417501,85.31287,85.68749,83.49972,83.60435,0,0,0,0,0,0,0,0,0,0,0,0,-0.000627834,-0.001045226,-0.004942283,-0.01725407,0.1656333,0.1941089,0.005752254,0.01742261,0.009130843,-0.01845308,0.02202842,0.000123665,2870,3,573,0,4
1,2587281,8199.995,799.9995,5087.16,2.369889,0.6066294,5.332711,0.1125751,-0.1546876,27.42578,-0.06392394,-0.01315018,-0.1640055,1.739478,0.02511916,-0.08676065,0.4639311,0.2899465,0.5564356,0.4086528,0.1406142,0.1447501,-0.002685031,-0.002075465,85.31661,85.39832,83.76385,83.84412,0,0,0,0,0,0,0,0,0,0,0,0,-0.008756859,-0.009099167,-0.007881685,-0.02302944,0.1408866,0.1450358,0.008326485,0.02312277,0.00976672,-0.01400161,0.02240392,0.002215058,2870,3,573,0,4
1,2587296,8199.995,799.9995,5105.078,1.84218,0.8784335,5.156517,0.1209087,-0.1546982,27.49975,-0.06680295,-0.008450808,-0.1582299,1.739402,0.02401217,-0.08944223,0.4676778,0.3075429,0.5579786,0.4183472,0.1271216,0.1211029,-0.002446053,-0.001915118,85.4334,85.40051,84.00717,84.06384,0,0,0,0,0,0,0,0,0,0,0,0,-0.01466897,-0.01497434,-0.009007055,-0.02466321,0.1279651,0.1220252,0.009333286,0.02473745,0.01027856,-0.01159774,0.02261472,0.003539421,2870,3,573,0,4
1,2587328,8199.995,799.9995,5130.678,1.398932,1.119429,4.949435,0.1243763,-0.1537234,27.5702,-0.06725039,-0.003993363,-0.1519517,1.739407,0.02288487,-0.09202391,0.467879,0.3192917,0.5581416,0.442327,0.1235683,0.1151228,-0.002290729,-0.001741846,85.63541,85.54536,84.23503,84.26954,0,0,0,0,0,0,0,0,0,0,0,0,-0.0186947,-0.01872962,-0.008593126,-0.02672903,0.1249744,0.1166365,0.008893214,0.02678572,0.01030605,-0.009992711,0.02263697,0.006815352,2870,3,573,0,4
1,2587343,8199.995,799.9995,5157.72,1.044861,1.318816,4.761045,0.1242208,-0.1519143,27.63948,-0.0657879,0.000109673,-0.1426835,1.739484,0.02177918,-0.09446967,0.4658467,0.3344137,0.5492606,0.4560989,0.1269101,0.1137677,-0.002259881,-0.001682894,85.91305,85.74527,84.45493,84.46868,0,0,0,0,0,0,0,0,0,0,0,0,-0.02166883,-0.02140367,-0.008168959,-0.0271302,0.1287467,0.1157636,0.008475786,0.02718234,0.01002841,-0.007926874,0.02142373,0.00869675,2870,3,573,0,4
1,2587359,8199.995,799.9995,5182.305,0.7356647,1.453987,4.611825,0.1217489,-0.1508922,27.70903,-0.06317157,0.003257832,-0.1307096,1.739619,0.02071201,-0.0967364,0.4555852,0.3439741,0.5406615,0.4682088,0.1367413,0.1181147,-0.002236207,-0.00167187,86.26375,86.01179,84.67181,84.66898,0,0,0,0,0,0,0,0,0,0,0,0,-0.02376706,-0.0231737,-0.007862501,-0.02726111,0.1387914,0.1203665,0.008174323,0.02731233,0.00862658,-0.006620802,0.02024899,0.0103511,2870,3,573,0,4
1,2587375,8199.995,799.9995,5201.334,0.5226225,1.51686,4.509294,0.1176443,-0.1513135,27.77978,-0.05835977,0.006312606,-0.1170291,1.739802,0.01971405,-0.09878094,0.4412251,0.3475737,0.5429837,0.49061,0.1526394,0.1286231,-0.002213015,-0.001630169,86.68407,86.34256,84.8893,84.87025,0,0,0,0,0,0,0,0,0,0,0,0,-0.02545605,-0.02446,-0.00676164,-0.02796879,0.1547475,0.1309281,0.007114577,0.02801626,0.006664813,-0.006129056,0.02056623,0.01341137,2870,3,573,0,4
1,2587390,8199.995,799.9995,5217.118,0.3589586,1.52665,4.458106,0.1121421,-0.1504044,27.85166,-0.04955996,0.009356257,-0.1028311,1.740025,0.01884027,-0.1005899,0.4331136,0.3577646,0.552976,0.5111007,0.1702702,0.1373503,-0.002124947,-0.001576344,87.09644,86.6328,85.10541,85.06968,0,0,0,0,0,0,0,0,0,0,0,0,-0.02686143,-0.02533712,-0.004368769,-0.02866107,0.172376,0.1396677,0.004858142,0.02870439,0.005556695,-0.004736863,0.02193129,0.01621064,2870,3,573,0,4
1,2587406,8199.995,799.9995,5231.83,0.2427936,1.513169,4.432017,0.1060905,-0.1464574,27.92431,-0.03917643,0.01186029,-0.08950102,1.740279,0.01813594,-0.1021698,0.4290253,0.3701551,0.5562882,0.5185271,0.1797214,0.1401931,-0.002074716,-0.001610955,87.42516,86.87526,85.32028,85.27069,0,0,0,0,0,0,0,0,0,0,0,0,-0.02784459,-0.02579027,-0.002386157,-0.02762836,0.1818657,0.1425456,0.003161992,0.02767528,0.004998185,-0.003044173,0.02238379,0.01722517,2870,3,573,0,4
1,2587421,8199.995,799.9995,5246.268,0.1768578,1.47183,4.415458,0.09996986,-0.140381,27.99689,-0.0282249,0.01382069,-0.07707351,1.740551,0.01761311,-0.1035338,0.4220242,0.3694032,0.5575115,0.5264065,0.1881383,0.1450083,-0.00204092,-0.001638348,87.74339,87.15025,85.53259,85.47231,0,0,0,0,0,0,0,0,0,0,0,0,-0.02840543,-0.02595503,-0.000829189,-0.02680962,0.1902705,0.1473128,0.002202932,0.02685963,0.004041746,-0.003146894,0.0225509,0.0183016,2870,3,573,0,4
